en_wiki,requests,superhero,fictional_character,occupation_superhero,varlog
Deadpool,1728814,false,true,true,0.3867135460312735
Batman,168041,true,false,false,0.07953897312654659
Jessica_Jones,160619,false,false,true,0.052438129440450836
Deadshot,137204,true,false,true,0.35130551828628265
Deathstroke,118902,true,false,true,0.15463433615344258
Lucifer_(DC_Comics),114323,true,false,true,0.25311291579267736
Superman,111250,false,true,false,0.08220564159975617
Spider-Man,104823,true,true,false,0.07993168610805049
Harley_Quinn,98989,true,false,true,0.08280112601447084
Psylocke,98211,false,true,true,0.44337618632923276
Black_Panther_(comics),96740,false,false,true,0.29961368139422756
Captain_America,90537,false,false,true,0.10206032751863837
Wolverine_(character),87018,false,false,true,0.14980747384081772
Suicide_Squad,85258,true,false,true,0.11110178473240408
Wonder_Woman,84550,false,false,true,0.11471350280847432
Wally_West,82971,true,false,true,0.1732308191330255
Doctor_Strange,77877,false,false,true,0.13819176924122906
Iron_Man,75326,false,false,true,0.0707701723544902
Thanos,72813,true,false,true,0.09963722102787928
Flash_(comics),71557,true,false,true,0.12104330624912152
Vision_(Marvel_Comics),66081,false,false,true,0.1687879737274288
Luke_Cage,65560,false,true,true,0.08904733815664866
Lilith,65248,true,false,true,0.09827978535129626
Daredevil_(Marvel_Comics),62500,false,true,false,0.13024685559433966
Spawn_(comics),62136,true,false,true,0.4660365890562521
Death_(Marvel_Comics),59919,true,false,true,0.30534404502774404
Enchantress_(DC_Comics),59910,true,false,true,0.09495082034399346
Firestorm_(comics),59533,true,false,true,0.11034027134745686
Vibe_(comics),59074,true,false,true,0.3468833254168818
Eobard_Thawne,57568,true,false,true,0.14847750612592664
Mickey_Mouse,56393,true,false,true,0.1473217213441501
Reverse-Flash,54154,true,false,true,0.1896764385700423
Captain_Marvel_(DC_Comics),54083,true,false,true,0.120989680568758
Hulk_(comics),51543,false,true,true,0.09346686504399772
Jean_Grey,50762,false,true,true,0.17130867766657884
Rip_Hunter,49622,true,false,true,0.1260478088558755
Scarlet_Witch,49212,false,true,true,0.12349524775423397
Sharon_Carter,48537,true,false,true,0.22486659357376948
Emma_Frost,48179,false,false,true,0.25487659743318486
Gambit_(comics),47802,false,true,true,0.20242911638129343
Killer_Frost,47612,true,false,true,0.2609610744195625
Supergirl,46979,false,false,true,0.14887024880184355
Domino_(comics),45798,false,false,true,0.48458712630054035
Black_Canary,45524,true,false,true,0.07660891108278446
Bucky,45041,false,false,true,0.18903505913969423
Slender_Man,44315,true,false,true,0.13543719500511292
Peter_Pan,43974,true,false,true,0.08175122145678863
Green_Lantern,43851,true,false,true,0.13112657824755716
Rick_Flag,43848,true,false,true,0.10425679427485686
Aquaman,43714,true,false,true,0.11041308152489183
Darkseid,43168,true,false,true,0.12790131784651423
Kitty_Pryde,42618,false,true,true,0.2180991595572725
Quicksilver_(comics),42294,false,true,true,0.09465189927303447
Amanda_Waller,42086,true,false,true,0.07786727720033672
Captain_Boomerang,42048,true,false,true,0.07977465108147518
King_Shark,41228,true,false,true,0.46426038894050636
Atom_(Ray_Palmer),40357,true,false,true,0.08328419757999282
Captain_Cold,40258,true,false,true,0.10545258972148357
Mystique_(comics),40076,false,true,true,0.12933786262538965
Faust,40007,true,false,true,0.12688765147041423
Barbie,39904,true,false,true,0.11567623292543873
Baron_Zemo,39623,false,true,true,0.22738487046840875
Cyclops_(comics),39443,false,true,true,0.2047073541038376
Robin_(comics),39121,true,false,true,0.09769003908033944
Warren_Worthington_III,38695,false,true,true,0.22177671663151927
Carol_Danvers,37134,false,false,true,0.09401215853490008
Inhumans,37074,true,false,true,0.1251326237101852
Lex_Luthor,36768,true,false,true,0.10747610881088021
Katana_(comics),36315,true,false,true,0.12501573833393168
Sabretooth_(comics),36074,false,true,true,0.23497739092588288
Damian_Wayne,36052,true,false,true,0.09128507612948986
Hugo_Strange,35428,true,false,true,0.1898454380387685
Jason_Todd,35378,true,false,true,0.09841094687877867
Magneto_(comics),35178,false,true,true,0.11344148423626296
Godzilla,34646,true,false,true,0.10936560946371288
Roy_Harper_(comics),34366,true,false,true,0.11639537240215317
Maz_Kanata,34254,true,false,true,0.3865752259648192
Hanuman,34236,true,false,true,0.10720271596835336
Star-Lord,33906,false,false,true,0.12737183032408753
Peggy_Carter,33901,true,false,true,0.16999280325555052
Hatsune_Miku,33651,true,false,true,0.07557280815256942
Rachel_Summers,33403,false,true,true,0.4409219909807669
Thor_(Marvel_Comics),32642,false,false,true,0.13109417859552658
Winnie-the-Pooh,32607,true,false,true,0.10073520816824735
Rogue_(comics),31630,false,true,true,0.13517924189406166
X-23,31567,false,true,true,0.20521184142991028
Hawkeye_(comics),31492,false,true,true,0.11671205036766935
Professor_X,31413,false,true,true,0.13408048666164926
Y%C5%ABrei,31376,true,false,true,0.10545545996353722
Thunderbolt_Ross,31128,false,true,true,0.1710019098576596
Devil,31100,true,false,true,0.1231404216304651
Falcon_(comics),30747,false,false,true,0.13592610119605283
Nightcrawler_(comics),30514,false,true,true,0.16516544613022444
Hua_Mulan,30282,true,false,true,0.19281579565653068
Juggernaut_(comics),30050,false,true,true,0.24299712050191982
El_Diablo_(comics),29208,true,false,true,0.10718279145600074
Ant-Man,28984,true,false,true,0.15962737734448437
Captain_Marvel_(Marvel_Comics),28237,false,true,true,0.12622507437142594
Jack_Reacher,28174,true,false,true,0.15401820106986258
Doctor_Doom,27889,true,false,true,0.10081169095609276
